Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Extended_Platform_Name
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.02,4.91,0.24,1.69,21.86,61.0,45.0,6.3,106.0,E,Xbox 360
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,E,Nintendo Wii
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.14,0.98,3.97,21.12,97.0,50.0,8.2,4009.0,M,Play Station 3
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1606.0,M,Play Station 2
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,Super Nintendo Entertainment System
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,E,Nintendo DS
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,Nintendo DS
Super Mario Land,G,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,,Game Boy
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,Nintendo Entertainment System
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.17,0.06,1.41,16.3,97.0,58.0,8.1,3722.0,M,Xbox 360
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,736.0,M,Play Station 2
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,Game Boy Advance
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,E,Nintendo DS
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.51,3.18,5.66,0.8,15.14,,,,,,Nintendo DS
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,E,Play Station 2
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.39,4.37,4.36,0.8,14.92,,,,,,Nintendo 3DS
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.08,5.95,0.36,2.41,14.8,,,,,,Play Station 4
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.06,4.26,0.13,1.33,14.77,88.0,81.0,3.4,8715.0,M,Xbox 360
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.73,3.7,0.11,1.13,14.67,87.0,89.0,6.3,1456.0,M,Xbox 360
Pok\xc3\xa9mon Yellow: Special Pikachu Edition,G,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,Game Boy
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,921.0,M,Play Station 3
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.26,0.07,1.12,13.69,83.0,73.0,4.8,2261.0,M,Xbox 360
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.6,0.08,1.28,13.48,94.0,100.0,6.3,2702.0,M,Xbox 360
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,4.12,6.77,0.39,2.08,13.36,97.0,66.0,8.3,2955.0,M,Play Station 4
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5237.0,M,Play Station 3
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,667.0,M,Play Station 2
Mario Kart 7,3DS,2011,Racing,Nintendo,5.2,4.19,2.7,0.94,13.04,85.0,73.0,8.2,633.0,E,Nintendo 3DS
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.64,2.56,2.66,1.01,12.87,93.0,81.0,8.9,1667.0,T,Nintendo Wii
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,6.0,4.37,0.48,1.8,12.64,88.0,58.0,6.4,1095.0,M,Play Station 3
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.6,243.0,E,Nintendo DS
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4109.0,M,Xbox 360
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.45,3.64,3.1,0.76,11.95,,,,,,Nintendo 3DS
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,Nintendo 64
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,Nintendo DS
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,273.0,E,Play Station 2
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,5.01,2.74,2.88,0.77,11.4,,,,,,Nintendo 3DS
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.36,1.2,0.74,11.36,97.0,73.0,8.9,2159.0,E,Nintendo Wii
Super Mario Land 2: 6 Golden Coins,G,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,Game Boy
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.77,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2958.0,M,Xbox 360
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.8,140.0,E,Play Station
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.05,2.14,0.78,10.87,90.0,82.0,8.4,925.0,E,Nintendo 3DS
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1115.0,E,Play Station 3
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2077.0,M,Play Station 3
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,Super Nintendo Entertainment System
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.77,3.7,0.44,1.61,10.51,98.0,64.0,7.5,2849.0,M,Play Station 3
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,Game Boy Advance
Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,0.97,10.31,,,,,,Nintendo DS
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.75,2.58,0.04,0.91,10.28,73.0,29.0,2.6,2118.0,M,Xbox 360
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+,Nintendo Wii
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.27,2.49,0.63,10.05,78.0,70.0,7.2,425.0,E,Nintendo 3DS
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.06,1.97,0.08,0.79,9.9,91.0,99.0,7.9,2053.0,M,Xbox 360
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,Nintendo 64
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.68,2.3,0.04,0.74,9.77,87.0,87.0,7.0,3273.0,M,Xbox 360
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1297.0,T,Play Station
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,T,Play Station
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,E10+,Nintendo Wii
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.26,9.37,71.0,10.0,2.6,1049.0,M,Play Station 3
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.95,2.37,0.13,0.9,9.35,94.0,70.0,8.4,1322.0,M,Xbox 360
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.08,2.43,4.43,0.4,9.34,88.0,70.0,8.7,628.0,E,Nintendo 3DS
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,Super Nintendo Entertainment System
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.76,2.7,0.02,0.82,9.3,,,,,,Xbox 360
FIFA 17,PS4,2016,Sports,Electronic Arts,0.9,6.75,0.09,1.33,9.07,85.0,41.0,4.9,442.0,E,Play Station 4
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,E,Nintendo DS
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.08,2.8,0.1,0.86,8.84,96.0,89.0,8.4,3602.0,M,Xbox 360
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,Super Nintendo Entertainment System
FIFA 16,PS4,2015,Sports,Electronic Arts,1.13,6.13,0.06,1.28,8.6,82.0,42.0,4.3,902.0,E,Play Station 4
Halo 2,X,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1224.0,M,Xbox
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.48,2.49,0.67,8.39,68.0,42.0,7.5,55.0,E,Nintendo Wii
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.25,1.58,0.71,8.28,62.0,41.0,6.3,191.0,E,Nintendo Wii
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,3.11,3.56,0.22,1.32,8.21,,,,,,Play Station 4
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.07,5.01,0.13,1.97,8.17,88.0,37.0,6.5,350.0,E,Play Station 3
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,Nintendo 64
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.15,0.41,8.08,,,,,,Nintendo DS
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1077.0,T,Play Station 2
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,894.0,T,PC
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,Nintendo Wii
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,658.0,T,Play Station
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,,Atari 2600
Pok\xc3\xa9mon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,204.0,E,Nintendo DS
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,453.0,M,Play Station Portable
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.83,3.48,0.14,1.24,7.68,83.0,39.0,5.7,1446.0,M,Play Station 4
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.3,1.4,2.44,0.48,7.62,,,,,,Nintendo 3DS
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,Nintendo 64
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,Play Station
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.58,2.36,0.98,0.62,7.54,97.0,87.0,9.1,1859.0,E,Nintendo Wii
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,Nintendo Entertainment System
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.62,2.12,0.02,0.69,7.44,,,,,,Xbox One
Call of Duty: World at War,X360,2008,Shooter,Activision,4.83,1.9,0.0,0.7,7.42,84.0,84.0,7.6,583.0,M,Xbox 360
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.58,3.42,0.24,1.17,7.41,87.0,58.0,6.5,4258.0,M,Play Station 4
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.47,2.11,0.06,0.69,7.33,84.0,57.0,7.4,2144.0,M,Xbox 360
Uncharted 4: A Thiefs End,PS4,2016,Shooter,Sony Computer Entertainment,2.92,2.98,0.19,1.18,7.28,93.0,113.0,7.9,7238.0,T,Play Station 4
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.17,2.25,1.29,0.52,7.23,88.0,82.0,9.1,1607.0,E,Nintendo Wii U
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,172.0,E,Play Station 2
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,E10+,Nintendo Wii
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.86,2.89,0.35,1.08,7.18,85.0,38.0,7.5,1762.0,M,Play Station 3
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,371.0,T,Play Station
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.16,95.0,73.0,9.0,1664.0,T,Nintendo Wii
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,439.0,E,Play Station
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,573.0,T,GameCube
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,GameCube
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,E,Play Station 2
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,137.0,T,Play Station 2
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,,Play Station
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.2,29.0,E10+,Nintendo Wii
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2746.0,M,Xbox 360
Uncharted 3: Drakes Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3732.0,T,Play Station 3
Zumba Fitness,Wii,2010,Sports,505 Games,3.46,2.6,0.0,0.66,6.72,,,,,E,Nintendo Wii
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.69,94.0,44.0,8.4,994.0,M,Play Station 3
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.67,96.0,105.0,8.8,5226.0,T,Play Station 3
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.4,6.65,,,,,,Play Station 3
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.63,74.0,45.0,7.4,27.0,E,Nintendo DS
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,Nintendo Entertainment System
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.8,2.53,0.17,1.0,6.51,95.0,73.0,8.9,2475.0,M,Play Station 3
FIFA 14,PS3,2013,Sports,Electronic Arts,0.79,4.24,0.07,1.38,6.48,86.0,37.0,4.3,576.0,E,Play Station 3
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.18,1.8,1.03,0.46,6.47,87.0,77.0,8.6,368.0,E,Nintendo Wii
Assassins Creed III,PS3,2012,Action,Ubisoft,2.65,2.52,0.16,1.12,6.46,85.0,41.0,6.9,1314.0,M,Play Station 3
Halo: Combat Evolved,X,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1292.0,M,Xbox
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.56,2.61,0.25,1.0,6.42,92.0,16.0,6.4,2530.0,M,Play Station 3
Pok\xc3\xa9mon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,223.0,E,Game Boy Advance
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,610.0,E,Play Station 2
Pok\xc3\xa9mon Crystal Version,G,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,,Game Boy
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.71,1.97,0.09,0.58,6.35,95.0,96.0,9.0,2327.0,M,Xbox 360
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1166.0,M,Xbox 360
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,444.0,E,GameCube
World of Warcraft,PC,2004,Role-Playing,Activision,0.09,6.22,0.0,0.0,6.31,93.0,57.0,7.3,2199.0,T,PC
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,,Super Nintendo Entertainment System
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.0,81.0,T,Play Station
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1510.0,M,Xbox 360
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,E10+,Xbox 360
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2301.0,M,Xbox 360
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.91,6.08,82.0,47.0,5.7,993.0,E,Play Station 4
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1035.0,M,Play Station 2
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,,,,,Sega Genesis
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,934.0,M,Play Station
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3575.0,M,Play Station 3
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.7,982.0,T,Play Station 2
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.19,0.29,0.99,5.89,95.0,98.0,9.1,8039.0,M,Play Station 3
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5319.0,E,Play Station 3
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,369.0,M,Play Station
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,2.15,2.57,0.16,0.93,5.8,77.0,86.0,3.5,1208.0,M,Play Station 4
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,202.0,E10+,Nintendo DS
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,T,Play Station
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.93,2.32,0.0,0.49,5.74,97.0,14.0,7.9,774.0,M,Xbox One
Destiny,PS4,2014,Shooter,Activision,2.5,2.07,0.16,0.93,5.66,76.0,95.0,6.1,5389.0,T,Play Station 4
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.56,0.0,0.51,5.64,80.0,17.0,8.9,62.0,E10+,Nintendo Wii
Cooking Mama,DS,2006,Simulation,505 Games,3.08,1.91,0.07,0.57,5.64,67.0,35.0,7.2,21.0,E,Nintendo DS
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,,Nintendo Entertainment System
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,,Nintendo 64
Assassins Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1212.0,M,Play Station 3
Assassins Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1084.0,M,Xbox 360
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,E,Xbox 360
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,42.0,E,Game Boy Advance
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2174.0,T,Play Station 3
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,T,Play Station Portable
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,E,Game Boy Advance
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,,Game Boy Advance
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,,Nintendo 64
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,161.0,E,Play Station 2
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.1,2.42,0.0,0.89,5.41,,,,,,Play Station 3
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,0.83,5.4,85.0,45.0,7.6,410.0,M,Play Station 3
Tomodachi Life,3DS,2013,Simulation,Nintendo,0.99,2.23,1.91,0.25,5.39,71.0,52.0,7.6,156.0,E,Nintendo 3DS
Dr. Mario,G,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,,,,,,Game Boy
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.75,1.21,1.87,0.51,5.34,83.0,83.0,7.2,2506.0,T,Play Station 3
Pokemon Pinball,G,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,Game Boy
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,792.0,T,Play Station
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.45,2.81,0.23,0.81,5.3,89.0,33.0,8.4,896.0,M,Play Station 4
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.4,1.28,0.32,5.29,84.0,70.0,8.1,734.0,E,Nintendo Wii U
Assassins Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.8,1204.0,M,Xbox 360
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,404.0,T,Play Station 2
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.24,1.55,0.01,0.48,5.28,81.0,53.0,5.4,900.0,M,Xbox One
Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,,Nintendo 64
Assassins Creed II,X360,2009,Action,Ubisoft,3.12,1.55,0.08,0.52,5.27,90.0,82.0,8.8,1320.0,M,Xbox 360
Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,13.0,,,T,Play Station
Madden NFL 2004,PS2,2003,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,E,Play Station 2
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,249.0,T,Play Station 2
